Time (UTC),open,high,low,close,volume
2021-12-05 23:00:00+00:00,49325.96,49587.99,49101.66,49465.5,116388773.2
2021-12-06 00:00:00+00:00,49465.5,49511.72,48511.54,48833.23,99444689.73
2021-12-06 01:00:00+00:00,48833.23,49071.23,48356.54,48890.86,101463568.44
2021-12-06 02:00:00+00:00,48890.86,49211.45,48834.15,48947.05,71928168.83
2021-12-06 03:00:00+00:00,48947.05,49283.49,48903.69,49105.87,68415895.83
2021-12-06 04:00:00+00:00,49105.87,49355.83,49048.76,49060.98,63682587.56
2021-12-06 05:00:00+00:00,49060.98,49162.22,48757.55,48757.55,71414352.61
2021-12-06 06:00:00+00:00,48757.55,48818.27,48148.26,48231.77,51479019.75
2021-12-06 07:00:00+00:00,48231.77,48500.44,47823.54,48484.48,84410900.62
2021-12-06 08:00:00+00:00,48484.48,49444.71,47898.58,48251.89,164832036.87
